"","SPCA1","SPCA2","SPCA3","SPCA4"
"MOG",0.00691278930984587,-0.129397807746841,0.0482982874314025,0.238065341032468
"SV2C",0.0293828657594397,0.165102534989034,-0.0020670875177813,0.0383627767079002
"LAMP5",0.0364808815307924,0.293304004698208,-0.143040118135309,0.0737569472782216
"CUX2",0.0344448086344553,0.334641174185066,-0.206922160587294,0.0472488320532028
"SYNPR",0.0352406632264065,0.0755173944614281,-0.0507486292310355,0.088774356897286
"PLCH1",0.0494967526368623,0.00817767949042014,0.0286787104257352,0.0193301624189786
"SMYD1",0.0345072521497271,-0.0388592465511183,-0.0554975835302396,0.0477058875824574
"ADARB2",0.0142814012277121,0.0377097659133447,-0.0456613318552357,0.132365809581127
"FEZF2",0.0175092788573128,-0.280856239272352,0.182461880311835,0.0236749507266116
"SST",0.0108559782633845,0.0270222062374309,0.0712913733458211,0.116914238851754
"OLIG2",0.0049863003209026,-0.023971565758662,0.0475003366232753,0.221913119838776
"RORB",0.0350014353310446,0.0523062998854791,0.14885342921979,-0.0930747236582455
"GAD1",-0.0153231635532543,0.0572194243726614,0.0592388956711458,0.176818687279165
"GRIK1",0.0270421837662827,0.00762077426371431,-0.0146838664766398,0.0713386113332653
"ONECUT2",0.0734595111404321,0.158297993403924,-0.144408762548342,0.000754333474039927
"NKX2-2",0.0128442975200594,-0.0448166051756726,0.0366732841120785,0.207497970521897
"SORCS2",0.0694630155813082,-0.1445760303163,0.100172570052028,0.00903485603078645
"MYO16",0.0370297387633956,0.0218882906297318,0.0377891316391534,0.0450686349631215
"SOX2",0.00558698292748804,0.0217358274152037,0.040111288352993,0.234391996473834
"SH2D1B",0.0301750276940298,-0.024655529552665,-0.0315172249621641,-0.013013233337784
"C1QL3",0.0388562044933398,0.187310802385456,0.0162985064528679,-0.056650995176248
"TBX2",0.00527506606206866,0.0297685427698748,-0.00788663845181548,0.0949288400461973
"COL19A1",0.0882566848853382,0.0404120813315544,-0.0600706279527444,-0.0197248843512611
"HS3ST4",0.0369904897255279,-0.279322735255758,0.181533121040433,-0.0286883545229605
"SORCS3",0.0823852738170742,-0.0176510123146701,-0.00296260494518686,-0.0571117281012284
"SYN3",0.0835132533631055,0.182354032903087,-0.100973021618391,-0.0838768470032521
"CORO6",0.14562097009551,-0.101027685215321,-0.139623505120943,-0.00360168874041452
"CBLN2",0.0427061746126928,0.222830114407799,-0.153923649025102,0.0212262427016526
"NEUROD1",0.0732921756509352,0.136269445836245,-0.0881989605658584,0.00634023468117688
"FILIP1L",0.0412759092643286,0.0229013028412306,0.0166011723375722,0.0072217632932531
"FKBP5",0.0333891818767793,0.069197291019306,-1.31022243468155e-05,0.0772243752186055
"OLIG1",0.00712970605183116,-0.0282269521107921,0.0528226914083792,0.182454203533517
"RGS11",0.132409356912756,-0.126423624658141,-0.162188814643391,0.009676139446054
"NRG1",0.0641493801677373,0.0170751700356683,0.0587947847814613,-0.00738438168090008
"CHRD",0.0864233906671448,0.0142468937736167,-0.02120971902914,-0.0710546682589005
"CLDN5",0.00779423095909599,0.0372310239857234,0.044334061005984,0.0838273777028716
"CNTN5",0.0804383624171365,-0.0716727361495424,0.0550103985334304,-0.0673714453230515
"ERBB4",0.0100834610449269,0.0179498112604237,-0.0168219128903926,0.139258442171339
"FAM135B",0.0819519644494994,0.00902892656223945,0.0226874934307153,0.0181020252291061
"FSD1",0.0910183711640742,-0.0187252892235534,-0.0388044415864779,-0.0616251271100618
"RIT2",0.0668300127576787,0.101389044955787,-0.00955389483374978,-0.00586924381584354
"MEIS3",0.0760271365899084,-0.0702314597361262,-0.0772281815446332,-0.0561156137952151
"RAPGEFL1",0.101839474300067,-0.020174568631174,-0.139123748813815,-0.110821062803927
"DOCK8",0.0485542894117888,0.0307165623474535,-0.0401481122723114,0.0328993732955685
