program,gene,weight,rank
stGP1,SLC17A7,0.24928640916402178,1
stGP1,SLC1A2,0.13911859398290558,2
stGP1,MEIS3,0.05492777706235139,3
stGP1,C1QL3,0.05304805607865938,4
stGP1,APBA2,0.05255865671670013,5
stGP1,SATB2,0.05233663894380813,6
stGP1,ID2,0.05203932070632042,7
stGP1,SYT5,0.04828540950645238,8
stGP1,ACTL6B,0.048148287813729936,9
stGP1,RNF208,0.0460503636556397,10
stGP1,RORB,0.044203736490231675,11
stGP1,SYNPR,0.04252727861108184,12
stGP1,APOE,0.040805418548986394,13
stGP1,RAPGEFL1,0.03974590364832626,14
stGP1,NEUROD6,0.036918149070784986,15
stGP2,GAD1,0.19579198608399723,1
stGP2,OLIG1,0.11593470507388987,2
stGP2,AQP4,0.08599375442830079,3
stGP2,RBPJ,0.08511818993659007,4
stGP2,SLC1A2,0.07685041788984436,5
stGP2,TOP2B,0.07176057790256117,6
stGP2,MED13,0.05310487913427429,7
stGP2,SDHA,0.04518247766667373,8
stGP2,MAT2A,0.04342203236556032,9
stGP2,EXOSC6,0.042112567366071996,10
stGP2,NFIA,0.03969350028829877,11
stGP2,PLPPR1,0.03884233954044856,12
stGP2,APOE,0.03832798228560187,13
stGP2,FOXN2,0.03687458267901924,14
stGP2,RPS13,0.03099000735886779,15
stGP3,GAD1,0.26352683489614975,1
stGP3,RPL3,0.12608185418287865,2
stGP3,RPL8,0.11487403887798316,3
stGP3,RPL7A,0.0712125456532231,4
stGP3,SOX2,0.058887508877288136,5
stGP3,FKBP5,0.05263914987912247,6
stGP3,FSD1,0.04680976454111222,7
stGP3,RPL10A,0.045441001123217674,8
stGP3,PHB2,0.03807203958512222,9
stGP3,MRPS26,0.03688048926551637,10
stGP3,SORCS2,0.03206110412328169,11
stGP3,MAGEF1,0.030697888392492902,12
stGP3,POR,0.030365924398207407,13
stGP3,OLIG2,0.029504377540661122,14
stGP3,POLR2I,0.02294547866374318,15
stGP4,SORCS2,0.1582968489216226,1
stGP4,RGS11,0.14957840713270087,2
stGP4,MOG,0.09898360683873268,3
stGP4,FKBP5,0.07173246601394212,4
stGP4,MAT2A,0.07099083610402034,5
stGP4,PDIA2,0.06457153107313511,6
stGP4,OLIG1,0.061445745429119666,7
stGP4,IWS1,0.045972281867003,8
stGP4,SOX2,0.045871486763013586,9
stGP4,OLIG2,0.04312253157200843,10
stGP4,TRIM28,0.04053383331775655,11
stGP4,NKX2-2,0.04041721245461559,12
stGP4,B4GALNT4,0.03898242167173432,13
stGP4,SOX13,0.03685252702414376,14
stGP4,NUP214,0.03264826381645128,15
