"","SPCA1","SPCA2","SPCA3","SPCA4"
"Snhg11",0.175138168921163,-0.173566407241093,0.0732037018826466,-0.162695825961293
"Cldn11",0.0763958419556743,0.0286355227914526,-0.376564612674513,0.133175104044689
"Cldn5",0.166930382698587,0.243359495304094,0.0331828168752179,-0.0683811991382901
"Enpp2",0.150153540740746,-0.00224817561532457,-0.265738533827031,0.0301020470596384
"Vtn",0.0555604102342703,0.209578086245155,0.0528293101291303,-0.0515315351731035
"Neat1",0.125243292212408,0.0517425303853659,-0.071901050800049,0.275427508035867
"Mog",0.103531140125484,-0.00221334081548122,-0.339567525624072,0.0997961433452738
"Opalin",0.0802726659583416,0.0109031934493762,-0.326306887418296,0.124667482695761
"Vip",0.0182757375287068,-0.0256009650319243,0.0150403133756763,-0.0203374155601357
"Ly6c1",0.101309449546528,0.332630894481476,0.0703571255320525,-0.0706117881768655
"Mki67",0.0293390321224756,-0.0170328550412855,0.0068283637172371,-0.0288425683857226
"Top2a",0.0376734599231483,-0.0246770009163807,0.00819705222644771,-0.0329317533073408
"Acta2",0.0196391530876537,0.0306890930300448,0.0334643827705842,0.00830589142667209
"Alas2",0.046995435880596,0.0326097113693702,0.0429609800308445,-0.0504528165825387
"Ccl4",0.0156253135044803,-0.00575690288761706,-0.00793065407202985,0.0509423784169819
"Olig2",0.107352031127856,-0.0235252463356621,-0.285395014937646,0.0618034885020708
"Pecam1",0.10173033513362,0.283295882795474,0.0717687730235284,-0.00975387621531519
"Fos",0.090018239263148,-0.0516713370446414,-0.00292660919953653,-0.0703544368038764
"Gpr17",0.0406110565132606,0.0110110360154857,-0.0238253911354651,0.0169586149844431
"Klf4",0.0649917580237164,0.234313238441829,0.0876919621160615,-0.0413637429827613
"Nts",0.0591378059693718,-0.0557565103916102,0.0216632367124387,-0.0418369702350293
"Vegfa",0.136903291502137,-0.0472189851577801,-0.00478727487916677,-0.0510510568048549
"Agpat4",0.169473847858998,-0.0350904930529483,-0.163684112759847,-0.0194986157055268
"Klk6",0.0335652428857728,-0.013725848840715,-0.0736438697279607,0.0258638421532368
"Dlx6os1",0.0732220567132188,-0.0603532388638372,0.0330536843088059,-0.0869619287806593
"Cdkn1a",0.0869413770507394,-0.0320948874969996,0.0350058379311098,-0.0884778935424212
"Trh",0.0429476432217411,-0.0454559190655225,0.00297341473810181,-0.0281548299757242
"Ifit1",0.0575730115657621,0.108263464305989,0.0210234463529188,-0.0019642184754488
"Lyz2",0.00637412016031466,0.0228990679327489,-0.0278024037662514,0.138541081479415
"Itga4",0.0924276698440515,-0.0590753544830764,0.0410592225696251,-0.0947302283705313
"Dcx",0.110577205902588,-0.118663020346428,0.0635852773365638,-0.1080508908344
"Crh",0.0339164946881025,-0.0062540865882352,-0.00819946105952729,-0.0136914895866439
"Slc6a13",0.0584493862986841,0.0224099223273288,0.034318133575598,-0.0406086449740891
"Tnf",0.0244248036277543,0.00303371231691291,-0.00711444735958797,0.0802746906358265
"Igf1",0.0406272935847927,-0.0269724649841405,-0.00657548169820999,-0.0251104848892263
"Apold1",0.059591634643514,0.134592315117135,0.0195973463478635,-0.0566219683986409
"Th",0.0437257027823065,0.000853070552799745,0.0399215194702564,-0.0176518033930398
"Prom1",0.0715532185862458,0.250444182842655,0.065288711073916,-0.0378664077655321
"Egfr",0.0521992803348152,-0.00629122667262207,0.020601967568607,-0.0147069126294664
"Igfbpl1",0.0440736949013374,-0.0396310244146023,0.00782130957009363,-0.0366066124576239
"Mrc1",0.0310546058117655,-0.000588857647681258,0.0414103243411067,-0.0122904878952215
"Hes5",0.0465588361962435,-0.0466460575412484,0.0759011494911994,-0.0280298166411841
"Cd24a",0.0621861540152274,-0.0300923773416587,-0.0194866455991383,-0.0225634899806673
"Tac2",0.027495509222508,-0.0332694016382939,0.0194868487874065,-0.0244927877766912
"Irs2",0.152828404197105,-0.120037089072678,-0.0260346418409349,0.0157175842781946
"Jun",0.106484272996299,-0.00120928515574859,-0.0276010655321,0.0233277327194407
"Itga1",0.138915577475823,0.163071379775006,0.0378120360718207,-0.0935281078338618
"Ly6c2",0.0633280907984306,0.108434215253976,0.0428636037282408,-0.0254602308297916
"Reln",0.051343181099062,-0.0255853907717653,0.0604647477195267,-0.0452483863663094
"Hexb",-0.232886934598792,-0.0769452478960716,0.137957725160776,0.161606817805023
"Pdcd1",0.0166256386542503,-0.010509697565328,-0.0715227997322261,0.0986030621559422
"Lum",0.0260357748578069,0.00382821320275039,0.00757158518731186,-0.00868947245136984
"Alcam",0.0642970697078235,-0.0831961479976073,0.0748451637304853,-0.0421403029409025
"Kcnj8",0.0504669870460324,0.0748009540751782,0.0486045556836327,-0.0230706943649595
"Slc2a1",0.0731461430678406,0.186368711107577,0.0146430970570959,-0.021483384384766
"Pmch",0.0532069887616099,-0.0312104113404951,-0.024557288780823,-0.0158751062137581
"Cd79a",0.0484934015186161,0.00108424436073727,-0.0665243135900555,0.0101990298465383
"Cd27",0.0423569302817266,-0.00245186558253603,0.0181493895944856,-0.022420419427453
"Rrm2",0.0363942535882297,0.00208191251875893,0.00263823609262846,-0.00926673061310911
"Ogt",0.14709076156487,-0.0499201867222775,0.0546050748365946,0.0442472577286602
"Kl",0.0562312217388532,-0.0450636355746014,0.050015113943119,-0.0441384481670371
"Pf4",0.0319598821480839,0.00806712939145267,0.0166583337999564,-0.0194480472501662
