,,Th,Cd52,S100a6,Tgfb1,Tpm4,Ercc1,Trp53,Cd209a,Cd274,Il10,Brca1,Vtn,Slc2a4,Cxcl16,Ccl4,Vip,Echdc1,Nts,Ifngr1,Sirt1,Egfr,Flt4,Srebf1,Pomc,Fos,Hexb,Alcam,Il10rb,Agpat4,C3,Ifitm3,Ikzf2,Ctla4,Cd28,Pdcd1,Xcl1,Sell,Mrc1,Il2ra,Cat,Pcna,Hdc,Il1b,Il1a,Cnn3,Pdpn,Slc2a1,Nmu,Cxcl1,Rpl6,Casp2,Lag3,Cd9,Dcx,Il10ra,Ms4a4b,Olig2,Ccl5,Lars2,Apln,Thbs1,Irs2,Enpp2,Sirt6,Cldn5,Ogt,Foxp3,Pclaf,Cldn11,Pmch,Flt3,Grn,Hes5,Bst2,H2afx,Ptges3,Socs3,Ccr4,Hcrt,Pik3r1,Mcm2,Cdkn2a,Crh,Itga1,Pisd,Gpr17,Cx3cr1,Slc6a13,Itgam,Cd8b1,Ly6c1,Ifi27,Cd8a,Top2a,Ghr,Nkg7,Vegfa,Nudt1,Kl,Sirt7,Fxn,Tcf7,Opalin,Insm1,Itgb1,Pla2g4e,Fcrls,Insr,Lyz2,Itga4,Bmp4,B2m,Mog,Ifit1,Cd3e,Pecam1,Ccr7,Gamt,Jun,Klf4,Klk6,Snhg11,Ghrh,Vcan,Rbm39,Gdf15,Cd44,Gmfb,Klrd1,Ifnar2,Atm,Gapdh,Cdk1,Mmp12,Son,Uba52,Mfap4,Stat3,Nfkb1,Ppargc1a,Lmna,Tpt1,Lsamp,Surf1,Dlx1,Dlx6os1,Reln,Myc,Fcgr3,Apold1,Tnf,Ms4a1,H2-D1,H2-K1,Neat1,Prox1,AC149090.1,Ptprc,Stat1,Ighd,Il6,Prom1,Trac,Gstm1,Fgf2,Ptprz1,Rarres2,Mat2a,Cd19,Mboat2,Rims2,Il7r,Cdkn1a,Gal
0,Topic1,-0.7542264,-0.24698423,-0.2747545,-0.04685514,-0.08634189,-0.61429715,-0.09227105,-0.45272344,-0.39490512,-0.5683416,-0.783863,-0.17405653,-0.8814749,-0.5072959,-0.6573644,-0.4319322,-0.31483704,-0.4232797,-0.012106009,-0.16184722,-0.22725017,-0.4863063,-0.3098824,-0.32301432,-0.35563758,-0.0065719644,-0.18100823,-0.0750183,-0.0983697,-0.6916144,-0.65882033,-0.44883972,-0.5016189,-0.38182634,-0.83228797,-0.7983757,-0.74390024,-0.46719578,-1.181243,-0.05040113,-0.11996333,-0.48674524,-1.3098102,-0.11678371,-0.10825808,-0.35045236,-0.353995,-1.3476703,-1.3915814,-0.5073124,-0.09947139,-0.042078838,-0.06634648,-0.25905922,0.0102165695,-0.5695172,-0.123280264,-1.0494397,-0.14196841,-0.09674464,-0.6071916,-0.06128808,-0.03581837,-0.15700519,-0.011495726,-0.03297171,-0.6429453,-0.5617938,-0.067010865,-0.35243946,-0.7285018,-0.018993076,-0.17508574,-0.25985458,-0.21726117,-0.058658753,-0.40576094,-0.48615688,-0.3617155,-0.031799387,-0.3457472,-0.4863123,-1.0175886,-0.15943824,-0.0107910745,-0.41375217,-0.036832787,-0.551505,-0.020407978,-0.67019576,-0.14005399,-0.13894546,-0.8907908,-0.6569884,-0.40530083,-0.6178043,-0.09215236,-0.5586826,-0.62636197,-0.09202782,-0.6845713,-0.62233627,-0.24475707,-0.44451872,-0.025220592,-0.36163747,-0.027410604,-0.05129884,-0.14863911,-0.33782774,-0.4471756,-0.009737109,-0.10607447,-0.60505265,-0.39008006,-0.072827786,-0.54950184,-0.23806424,-0.07765096,-0.33731622,-1.1256025,-0.0053902734,-0.7253436,-0.1405046,-0.00967336,-1.0575912,-0.62926865,-0.011577725,-0.73762065,-0.09635259,-0.15042311,-0.08927418,-0.46639073,-1.0072305,-0.0041050725,-0.99461085,-0.7626153,-0.05553622,-0.040435906,-0.13731377,-0.6345578,-0.05984323,-0.07463236,-0.09401676,-0.6553528,-0.17573148,-0.099047415,-0.33169174,-0.034196384,-0.5298488,-1.5095943,-0.6391351,-0.2625793,-0.05841361,-0.017423138,-0.177122,-0.22106154,-0.04297798,-0.22315156,-0.253491,-1.1437384,-0.4889556,-0.611976,-0.05587157,-0.51859236,-0.07819842,-0.37658614,-0.13374536,-1.0909328,-0.07500706,-0.06109694,-0.25440523,-0.22074005,-1.2663717
0,Topic2,-0.7793361,-0.2522276,-0.26661363,-0.02792513,-0.11942166,-0.60013163,-0.103709154,-0.46145895,-0.39889225,-0.5842552,-0.76195955,-0.1719537,-0.86084545,-0.49824288,-0.6458248,-0.40317258,-0.29601616,-0.42233288,-0.009095385,-0.15412733,-0.2434217,-0.48806545,-0.29087603,-0.3249357,-0.3612667,-0.012119301,-0.19178802,-0.06945104,-0.0888571,-0.6688871,-0.6620847,-0.44895208,-0.5065217,-0.37885955,-0.8085183,-0.8027057,-0.74728584,-0.4509969,-1.215348,-0.05955532,-0.10862548,-0.48527762,-1.3102216,-0.11616345,-0.101622134,-0.35608575,-0.3716087,-1.3539348,-1.4039731,-0.5134996,-0.119785525,-0.024245946,-0.07424544,-0.26372907,-0.02662446,-0.55801755,-0.13298044,-1.04644,-0.14999202,-0.06263272,-0.6262404,-0.064429484,-0.010184099,-0.21255764,-0.02479154,-0.027693901,-0.652501,-0.5537221,-0.1436277,-0.34832355,-0.7450453,-0.024370305,-0.18289211,-0.26410058,-0.23411451,-0.042452395,-0.4020578,-0.47817063,-0.350285,-0.025094984,-0.3364456,-0.47551337,-1.0344875,-0.16498023,-0.010632094,-0.43028104,-0.010526089,-0.5609309,0.0008389894,-0.6785353,-0.13257007,-0.118841626,-0.8886412,-0.6652544,-0.3984366,-0.6019338,-0.083821505,-0.5524329,-0.6595389,-0.10575834,-0.69805074,-0.58774275,-0.20299244,-0.4471915,-0.030289927,-0.34528655,0.017720584,-0.087579735,-0.14853776,-0.3549107,-0.43773645,0.0050153583,-0.07148844,-0.5957403,-0.36596143,-0.06712866,-0.58567953,-0.2515749,-0.056537084,-0.35686976,-1.1253161,-0.03535533,-0.7309678,-0.11158625,-0.014551015,-1.0703388,-0.6372331,0.00039445795,-0.7332091,-0.12627012,-0.11841563,-0.10097849,-0.47113818,-1.0011109,-0.046966914,-1.0105765,-0.75513756,-0.0527349,0.012326263,-0.15312374,-0.6509339,-0.07078466,-0.08407493,-0.10718612,-0.63370097,-0.16386287,-0.14328334,-0.362163,0.0043270104,-0.5526655,-1.5137224,-0.6500936,-0.2368673,-0.01716718,-0.039334767,-0.19379942,-0.21651502,-0.037400763,-0.20507553,-0.24446382,-1.1405064,-0.4830667,-0.591083,-0.053663846,-0.53624666,-0.0975627,-0.33794108,-0.11658311,-1.1096958,-0.07165078,-0.07782294,-0.2390989,-0.21943897,-1.257108
0,Topic3,-0.7694411,-0.24715832,-0.27159196,-0.030397562,-0.10858417,-0.62431204,-0.08742537,-0.4531146,-0.38630122,-0.60663116,-0.7630893,-0.16605428,-0.882495,-0.53612906,-0.67095125,-0.39312133,-0.31445023,-0.4356699,-0.013542818,-0.14252573,-0.21785189,-0.5035644,-0.29583615,-0.33972254,-0.36670122,-0.015292628,-0.18249263,-0.16660666,-0.09064527,-0.650976,-0.671717,-0.482677,-0.5114082,-0.38023052,-0.8171917,-0.8053254,-0.7499372,-0.46413103,-1.217004,-0.07714762,-0.12546626,-0.48931983,-1.2921363,-0.13467577,-0.10698661,-0.34284338,-0.362103,-1.3570626,-1.4112319,-0.5361591,-0.10713656,-0.03192746,-0.06753982,-0.2666967,-0.06990825,-0.5904045,-0.12035306,-1.0698644,-0.15849216,-0.095527835,-0.61238575,-0.06954657,-0.031970423,-0.18137594,-0.11923824,-0.033464726,-0.6524523,-0.53637856,-0.090793684,-0.34267265,-0.74103487,-0.024575233,-0.17949477,-0.24107924,-0.19942743,-0.05885156,-0.4350922,-0.48851103,-0.33219686,-0.027482856,-0.35216904,-0.46452588,-1.0114717,-0.16699462,-0.027463207,-0.41938612,-0.02824586,-0.5803691,-0.01771296,-0.68470365,-0.13209458,-0.11738318,-0.87328094,-0.6509262,-0.42540577,-0.61880106,-0.103747316,-0.5575266,-0.6178262,-0.07874098,-0.71349216,-0.61185306,-0.20819996,-0.4288336,-0.031875934,-0.34933472,-0.0026042461,-0.045894727,-0.16541003,-0.34984532,-0.4534937,-0.024328642,-0.094675705,-0.5913147,-0.3582848,-0.06526934,-0.57296187,-0.22567193,-0.06115865,-0.31558716,-1.1353463,-0.006568701,-0.7384978,-0.14278856,-0.016701961,-1.0527731,-0.6406922,-0.022233952,-0.72419435,-0.08194913,-0.13411897,-0.090943664,-0.4883605,-1.0085092,-0.035481267,-1.0106198,-0.7583908,-0.036608838,-0.033251423,-0.15128057,-0.6687414,-0.07724674,-0.081029676,-0.08195271,-0.65014493,-0.16656484,-0.12456264,-0.3517719,-0.025859013,-0.5151539,-1.5234115,-0.6523071,-0.2577636,-0.053653896,-0.016373616,-0.19645767,-0.20937356,-0.08832556,-0.1996367,-0.25405994,-1.1606002,-0.4807607,-0.6197283,-0.072032094,-0.5275457,-0.03148831,-0.34179667,-0.14281,-1.1191235,-0.09670339,-0.08016192,-0.24317104,-0.21020576,-1.2772582
0,Topic4,-0.78924173,-0.2670346,-0.27679443,-0.019224204,-0.08083407,-0.59495276,-0.11875877,-0.44215253,-0.39713773,-0.5580198,-0.757039,-0.17077017,-0.89105517,-0.5252904,-0.6423618,-0.39220706,-0.32108906,-0.446131,-0.025938813,-0.15418792,-0.23151211,-0.50263256,-0.30218032,-0.32277024,-0.33628818,-0.046532016,-0.16715904,-0.060819704,-0.08733069,-0.66894454,-0.665684,-0.46860713,-0.5048267,-0.35183012,-0.8185049,-0.7940495,-0.7464196,-0.4449879,-1.2070233,-0.036766756,-0.11237408,-0.45611283,-1.3043345,-0.11734755,-0.107172154,-0.35389957,-0.3588182,-1.3450857,-1.3781447,-0.54319113,-0.108062744,-0.037466567,-0.05114505,-0.24409197,-0.04283678,-0.56735075,-0.13248721,-1.0329392,-0.1562631,-0.113048226,-0.6225316,-0.07646951,-0.020933779,-0.22744296,-0.03129903,-0.048028886,-0.64696014,-0.5557076,-0.0736689,-0.35155493,-0.7269618,-0.022552213,-0.19856232,-0.25553644,-0.21438271,-0.056320664,-0.43479782,-0.46679726,-0.37265617,-0.043693095,-0.35750148,-0.47605634,-1.0351777,-0.17389621,-0.03379546,-0.41771364,-0.0072194226,-0.55976665,-0.021581702,-0.66667235,-0.12966208,-0.14791445,-0.89267886,-0.62681675,-0.42417336,-0.6318559,-0.09201288,-0.5792773,-0.62365746,-0.09089673,-0.6993746,-0.6121947,-0.20299096,-0.43343145,-0.019820753,-0.3425588,0.00015393039,-0.08031733,-0.15403487,-0.3428624,-0.4600389,-0.019653998,-0.09618293,-0.58921313,-0.37072527,-0.072441466,-0.57534397,-0.2516194,-0.07253035,-0.34679964,-1.1399361,-0.00084327254,-0.7277633,-0.15456088,-0.004272743,-1.0492306,-0.6196475,-0.033914343,-0.72945344,-0.083749264,-0.14319296,-0.08014814,-0.4713306,-0.99441266,-0.022998787,-0.9982376,-0.767117,-0.06176356,-0.0417974,-0.15858105,-0.65898323,-0.059814423,-0.09335322,-0.082409084,-0.64309704,-0.16592078,-0.12219103,-0.35276023,-0.0046281517,-0.5155198,-1.5074009,-0.6542371,-0.24174768,-0.01853761,-0.011841992,-0.17885953,-0.22882688,-0.028398914,-0.22543022,-0.24490021,-1.1300551,-0.50003433,-0.5793544,-0.055329002,-0.5324092,-0.07487502,-0.38145113,-0.12172728,-1.102672,-0.07915243,-0.08206416,-0.2560774,-0.25809768,-1.2711468
1,Topic1,-0.46266288,-0.33292136,-0.31888276,-0.036798246,-0.10155249,-0.303045,-0.060100187,-0.31605294,-0.3615346,-0.5757484,-0.8444231,-0.21945283,-0.8106889,-0.8625755,-0.64814126,-0.56176597,-0.2734463,-0.58675665,-0.00849613,-0.16327196,-0.22822702,-0.4662841,-0.19862318,-0.46248567,-0.41228342,-0.006725658,-0.18828097,-0.07730124,-0.09429347,-0.818218,-0.6196309,-0.43559322,-0.47173578,-0.32285428,-0.68799174,-0.44163018,-0.29497093,-0.46058306,-0.7318761,-0.05203163,-0.10482176,-0.7598171,-0.6950393,-0.077870116,-0.095013544,-0.3090252,-0.30138,-0.5283748,-0.621729,-0.47951967,-0.15713792,-0.02411523,-0.038094815,-0.34408957,0.019015659,-0.80085236,-0.14285344,-0.7718645,-0.10930466,-0.11107897,-0.49766997,-0.046482127,-0.04858206,-0.07726647,-0.012561513,-0.060427256,-0.62854284,-0.7799653,-0.027432498,-0.6920832,-0.40223193,-0.009590375,-0.094131485,-0.24565095,-0.17314442,-0.06595507,-0.25185257,-0.49470088,-0.47278237,-0.027881658,-0.32451582,-0.71858096,-0.89340156,-0.32225356,-0.015210675,-0.36901033,-0.036835488,-0.7936304,-0.025434341,-0.5925402,-0.17546219,-0.1091066,-0.47671002,-0.69561386,-0.5850208,-0.36173332,-0.064063326,-0.45294237,-0.6182586,-0.046341874,-0.54004776,-0.5710083,-0.16152608,-0.21611573,-0.02898856,-0.4276063,-0.02743781,-0.034404963,-0.21111554,-0.42181015,-0.6993461,-0.028585613,-0.12068909,-0.61589426,-0.17011482,-0.07968365,-0.44197297,-0.19705021,-0.0658974,-0.3070884,-0.7257689,-0.0234748,-0.6345687,-0.33395135,-0.008945141,-0.452077,-0.5738815,-0.022991715,-0.8340575,-0.099436104,-0.14387466,-0.08028497,-0.38291454,-0.6937391,0.008243272,-0.61926895,-0.64515966,-0.03719394,-0.024932494,-0.18844114,-0.4259247,-0.03553233,-0.076398805,-0.09875576,-0.4677722,-0.29431134,-0.18316995,-0.1622654,-0.0379697,-0.36029184,-0.61657786,-0.7024618,-0.17085232,-0.073187694,-0.0089014275,-0.15973292,-0.11886534,-0.033404775,-0.19030869,-0.12810892,-0.65975946,-0.41285628,-0.5083786,-0.041870665,-0.42586404,-0.089303315,-0.45653018,-0.18716215,-0.54159844,-0.09403577,-0.08196211,-0.18547514,-0.23265062,-0.7130182
1,Topic2,-0.48818064,-0.33786905,-0.3104577,-0.01794504,-0.13510212,-0.28849393,-0.07098146,-0.3254354,-0.36540183,-0.5921131,-0.8231394,-0.21755831,-0.7902651,-0.8531008,-0.63737816,-0.5322135,-0.25424442,-0.5862149,-0.0052589783,-0.15504791,-0.24445717,-0.46787408,-0.17888962,-0.46518952,-0.41788343,-0.011826117,-0.19905618,-0.07060729,-0.08465553,-0.7957333,-0.6225552,-0.4353659,-0.47731712,-0.31992808,-0.66409105,-0.44543263,-0.29872066,-0.44408312,-0.76608044,-0.061543368,-0.093455836,-0.7587211,-0.69616044,-0.07751103,-0.08839618,-0.3145192,-0.31945267,-0.53469324,-0.63463545,-0.48572177,-0.17797527,-0.005563421,-0.046364553,-0.34877488,-0.017506348,-0.7894829,-0.15246405,-0.76848286,-0.11711564,-0.07671078,-0.51677525,-0.049718544,-0.022439985,-0.13360812,-0.025650572,-0.055305168,-0.63775367,-0.77157754,-0.10447927,-0.6887601,-0.41900197,-0.014864637,-0.10169297,-0.25021246,-0.18903787,-0.049631562,-0.2481108,-0.48719588,-0.46124712,-0.0215502,-0.31572238,-0.7071913,-0.9101395,-0.32822752,-0.015887039,-0.38558078,-0.010408467,-0.803094,-0.0042558536,-0.6006298,-0.16783747,-0.088697046,-0.47459674,-0.7036273,-0.57843363,-0.34621158,-0.055856783,-0.4469888,-0.6514306,-0.059314463,-0.55303204,-0.53627294,-0.12000199,-0.21889073,-0.033958375,-0.41139627,0.017247159,-0.07030064,-0.21116278,-0.43899795,-0.69017875,-0.013462184,-0.08575058,-0.6065221,-0.14573914,-0.073755264,-0.47765094,-0.21039043,-0.04498301,-0.32623574,-0.7243362,-0.05378119,-0.6399501,-0.3057375,-0.013583336,-0.4651183,-0.5816001,-0.0105737075,-0.82995325,-0.12888792,-0.111108676,-0.09216171,-0.3882101,-0.6875693,-0.034903582,-0.63510424,-0.63741934,-0.03361079,0.028116506,-0.20452158,-0.44235465,-0.046230827,-0.08632311,-0.11227492,-0.44645315,-0.28247902,-0.22763807,-0.19246835,0.0009497702,-0.38267803,-0.620765,-0.7131457,-0.14486946,-0.03184365,-0.03070412,-0.17596042,-0.11422944,-0.027774982,-0.17292736,-0.11931308,-0.6565934,-0.40723625,-0.4883217,-0.040180787,-0.4435194,-0.10879901,-0.41769353,-0.17006646,-0.55974764,-0.090624936,-0.09887304,-0.17001358,-0.23177905,-0.70390373
1,Topic3,-0.4777725,-0.33307913,-0.31555408,-0.02042689,-0.12442739,-0.3129743,-0.055119783,-0.3157779,-0.35274872,-0.61482376,-0.8241606,-0.21177103,-0.81182957,-0.8912546,-0.66241604,-0.5221625,-0.27323294,-0.59937847,-0.009639399,-0.14379941,-0.21903494,-0.4838447,-0.18457797,-0.47986665,-0.4232233,-0.015513868,-0.18979019,-0.17075211,-0.08640789,-0.77791405,-0.6328978,-0.46917304,-0.4816142,-0.32127848,-0.67307496,-0.44829118,-0.30165723,-0.45736015,-0.76805913,-0.0787221,-0.11030744,-0.7628986,-0.6779387,-0.095621616,-0.09329303,-0.30101624,-0.309797,-0.5375392,-0.64144313,-0.5085096,-0.16484159,-0.013827778,-0.03929699,-0.35174838,-0.061028235,-0.82174665,-0.14023924,-0.79229707,-0.12598798,-0.10952532,-0.5030712,-0.054843783,-0.04467299,-0.10142407,-0.12091135,-0.060441732,-0.6381694,-0.7542919,-0.051570803,-0.682635,-0.41529995,-0.014979983,-0.09913272,-0.22641966,-0.15475804,-0.06595174,-0.28120306,-0.4968586,-0.4431121,-0.023564488,-0.33076268,-0.6963799,-0.8870297,-0.33008155,-0.032291807,-0.37523702,-0.028223513,-0.8224665,-0.023075782,-0.60697114,-0.1673148,-0.08777283,-0.45917192,-0.6895851,-0.6047022,-0.36285737,-0.07560209,-0.45236784,-0.6104641,-0.032639116,-0.56887716,-0.560608,-0.12504183,-0.20090885,-0.035464365,-0.4152055,-0.002182035,-0.028931968,-0.22809298,-0.43334916,-0.70522875,-0.044124316,-0.10871178,-0.60241807,-0.13802256,-0.072316945,-0.46503517,-0.18460777,-0.04941271,-0.28507203,-0.7348155,-0.02502738,-0.64734095,-0.33674356,-0.0163131,-0.4467216,-0.5847236,-0.03299975,-0.8204884,-0.084734514,-0.12692873,-0.08229213,-0.40514734,-0.69523823,-0.023393527,-0.6355254,-0.6405425,-0.017832223,-0.017458871,-0.2026031,-0.45978746,-0.05282714,-0.08268487,-0.086972296,-0.4627304,-0.2851044,-0.20816875,-0.1819945,-0.029694475,-0.344816,-0.6304489,-0.7156121,-0.16576743,-0.06883979,-0.007599594,-0.17899854,-0.10674594,-0.07934722,-0.1669551,-0.1290675,-0.67654794,-0.40483195,-0.51705307,-0.058652878,-0.4356433,-0.041845277,-0.4217535,-0.19546826,-0.5690984,-0.11609182,-0.10088899,-0.1743591,-0.22215751,-0.72380936
1,Topic4,-0.49836704,-0.3527639,-0.32062262,-0.009273909,-0.095636554,-0.28358105,-0.08682744,-0.30533823,-0.36419868,-0.566193,-0.8184097,-0.21608663,-0.82049394,-0.88028353,-0.6333507,-0.52124536,-0.27939722,-0.60989624,-0.02288664,-0.15542106,-0.2328265,-0.4818903,-0.19054195,-0.4626644,-0.3928016,-0.047143403,-0.17467493,-0.062167052,-0.08280206,-0.79607636,-0.62696236,-0.4546368,-0.4753357,-0.29311478,-0.6745663,-0.43694937,-0.2975955,-0.43797755,-0.7582554,-0.037758812,-0.09672914,-0.72969943,-0.6902658,-0.07851505,-0.09433636,-0.31207147,-0.30614045,-0.5258285,-0.60833573,-0.5156157,-0.16611834,-0.019069124,-0.02284682,-0.32913825,-0.03435431,-0.7985472,-0.15226126,-0.7555672,-0.12314019,-0.12718022,-0.5131569,-0.06228142,-0.03311179,-0.14849304,-0.03253678,-0.07499508,-0.632373,-0.77351993,-0.034257863,-0.69108176,-0.40117702,-0.012718721,-0.11773087,-0.24149248,-0.16956335,-0.06318653,-0.281372,-0.47568756,-0.48365408,-0.03922975,-0.3368532,-0.70811486,-0.91079247,-0.33697712,-0.03915162,-0.37312567,-0.0072481516,-0.80171585,-0.0265103,-0.5893481,-0.16494283,-0.11825284,-0.47869015,-0.6658456,-0.6034982,-0.3756054,-0.06423849,-0.47405913,-0.6157697,-0.044786908,-0.5546624,-0.5612509,-0.11985698,-0.20554963,-0.023840383,-0.40862045,0.00036997022,-0.06301149,-0.21655121,-0.42660472,-0.71183497,-0.03853408,-0.110140555,-0.5999487,-0.15063876,-0.079225086,-0.46752024,-0.2105434,-0.06069491,-0.31677198,-0.7395405,-0.019016623,-0.6368996,-0.34808603,-0.003192271,-0.44383264,-0.5639477,-0.044636402,-0.82585007,-0.086777225,-0.13647197,-0.071169496,-0.38804308,-0.6814607,-0.010550412,-0.6226892,-0.6498715,-0.04286018,-0.026632588,-0.20977283,-0.4499253,-0.035417266,-0.09497755,-0.08724408,-0.45587182,-0.28470457,-0.20628127,-0.18324855,-0.007989465,-0.34557852,-0.61448056,-0.71745276,-0.15004238,-0.033377126,-0.0035884585,-0.16188143,-0.12639979,-0.018744834,-0.19297162,-0.11945386,-0.6461799,-0.42393807,-0.47628272,-0.04192412,-0.43988478,-0.08569689,-0.4616704,-0.1746487,-0.5527179,-0.09808877,-0.10313295,-0.18733461,-0.27057937,-0.71754956
2,Topic1,-0.35680822,-0.248088,-0.3343714,-0.055697236,-0.07552522,-0.42358643,-0.079327464,-0.2690009,-0.35177377,-0.63774526,-0.75260234,-0.23728585,-0.88791454,-0.6360055,-0.6164472,-0.38824427,-0.23027389,-0.33228064,-0.008504159,-0.17917806,-0.24573004,-0.41263083,-0.23467153,-0.45015615,-0.25254324,-0.0067419875,-0.14436431,-0.07388532,-0.103834465,-0.61281055,-0.44942784,-0.35677242,-0.41881293,-0.31880918,-0.7223419,-0.42450726,-0.29067925,-0.5275189,-0.9819474,-0.05683704,-0.08545944,-0.9437744,-0.561914,-0.09046283,-0.0875765,-0.3394757,-0.40045235,-0.65452313,-0.73256826,-0.34454107,-0.11518293,-0.031875297,-0.039799817,-0.2352594,0.014096806,-0.4851103,-0.14741006,-0.8515233,-0.120710135,-0.10217314,-0.51439476,-0.05030296,-0.041587315,-0.08943765,-0.01066678,-0.03704481,-0.6093701,-0.8046777,-0.055368766,-0.2962175,-0.4520043,-0.0154413525,-0.10700507,-0.2946441,-0.17128634,-0.042852692,-0.32199273,-0.40262285,-0.54866403,-0.026786473,-0.42334673,-0.74642956,-1.0186213,-0.28697088,-0.01497338,-0.54345345,-0.03810914,-0.65815556,-0.02337825,-0.60076123,-0.16031656,-0.11082187,-0.6674067,-0.4798262,-0.5373577,-0.6107628,-0.07871195,-0.48901567,-0.48646396,-0.07290232,-0.654744,-0.45398688,-0.18185267,-0.2590647,-0.022549294,-0.35808966,-0.030721117,-0.040527925,-0.15426774,-0.37962556,-0.5728988,-0.015706658,-0.10410256,-0.56900555,-0.1507797,-0.09095728,-0.4563296,-0.18087944,-0.085623085,-0.37552217,-0.62423766,-0.010077315,-0.8394824,-0.331521,-0.008537899,-0.46679723,-0.6269835,-0.013023971,-0.6032695,-0.13216731,-0.1227125,-0.07190693,-0.3995209,-0.5527178,0.004453007,-0.71025133,-0.67486376,-0.04417629,-0.035657346,-0.11595717,-0.51168585,-0.025473138,-0.069821864,-0.07149517,-0.6129825,-0.17990012,-0.12834808,-0.23524588,-0.035866316,-0.36544445,-0.99769473,-0.6184784,-0.21945404,-0.06947712,-0.010588668,-0.16355516,-0.17972054,-0.026907643,-0.20468302,-0.19297917,-0.76314414,-0.37178668,-0.23782429,-0.03496313,-0.31951573,-0.052765306,-0.34770772,-0.12636657,-0.4636202,-0.0712879,-0.04484597,-0.23864414,-0.24790627,-0.8187343
2,Topic2,-0.3826893,-0.2526597,-0.32558805,-0.036947466,-0.109621264,-0.40851647,-0.08956126,-0.27920702,-0.3556271,-0.65436107,-0.7319926,-0.23566301,-0.86791533,-0.6260662,-0.6066166,-0.3581287,-0.21058853,-0.33225507,-0.005043558,-0.17049544,-0.26197034,-0.41403055,-0.2142697,-0.4535437,-0.25832194,-0.011230479,-0.15536511,-0.065941766,-0.09400208,-0.5906354,-0.45193604,-0.35617456,-0.42514738,-0.31619978,-0.69817144,-0.42763278,-0.29475144,-0.51073647,-1.0160866,-0.06672693,-0.07406693,-0.9430453,-0.5638832,-0.090389356,-0.08094334,-0.34503552,-0.4190852,-0.6609669,-0.7462507,-0.35088897,-0.13675879,-0.012467765,-0.04865962,-0.23991035,-0.022133099,-0.47366256,-0.15663354,-0.84775054,-0.12829846,-0.06767112,-0.5334571,-0.05364275,-0.014679748,-0.14687261,-0.023414062,-0.032148175,-0.61821264,-0.79577154,-0.13275486,-0.29395607,-0.4689924,-0.02052693,-0.11439866,-0.29980776,-0.18591104,-0.026437461,-0.31818193,-0.3954963,-0.5366391,-0.020874333,-0.41507077,-0.73426974,-1.0351471,-0.29355347,-0.01670395,-0.55999,-0.011653647,-0.66746455,-0.002504955,-0.6084805,-0.15251142,-0.0902202,-0.66540605,-0.48753646,-0.5309463,-0.5953723,-0.07069692,-0.4832424,-0.5196246,-0.0848208,-0.66695046,-0.41908294,-0.14070533,-0.2619069,-0.027254516,-0.3419128,0.013430098,-0.07597667,-0.15445459,-0.39692327,-0.5639721,-4.8002228e-05,-0.06878912,-0.55948883,-0.12616344,-0.084832735,-0.49135417,-0.1940499,-0.06487815,-0.39412075,-0.6214824,-0.040943585,-0.84453595,-0.30400482,-0.012866884,-0.47995737,-0.6343602,-6.798655e-05,-0.59988576,-0.16103289,-0.089063905,-0.083922595,-0.40531588,-0.54633933,-0.039126568,-0.72582316,-0.6669203,-0.039628293,0.01757693,-0.13234067,-0.52827775,-0.03580255,-0.08030236,-0.08554059,-0.5919763,-0.16789612,-0.17314608,-0.2651185,0.0036361571,-0.38717452,-1.0020101,-0.62892133,-0.1930857,-0.028094059,-0.0321544,-0.17925598,-0.17501476,-0.021242931,-0.18803142,-0.18418987,-0.75984085,-0.36636072,-0.21878327,-0.03380412,-0.33698258,-0.07235455,-0.30861408,-0.10926845,-0.48097116,-0.067809254,-0.06183284,-0.22293694,-0.24754831,-0.80987096
