topic,rank,gene,mean_score
Topic1,1,Il10ra,0.023223889991641045
Topic1,2,Son,0.010530632920563221
Topic1,3,Pisd,0.002669055014848709
Topic1,4,Hexb,-0.004862762521952391
Topic1,5,Neat1,-0.009269291535019875
Topic1,6,Snhg11,-0.010360201820731163
Topic1,7,Ifngr1,-0.014929900877177715
Topic1,8,Rbm39,-0.01674041338264942
Topic1,9,B2m,-0.01768321730196476
Topic1,10,Itgam,-0.019511133432388306
Topic1,11,Grn,-0.02018275484442711
Topic1,12,Nfkb1,-0.0227045938372612
Topic1,13,Gmfb,-0.022777210921049118
Topic1,14,Pik3r1,-0.025305068120360374
Topic1,15,Gstm1,-0.025908494368195534
Topic2,1,Nfkb1,0.02547387219965458
Topic2,2,Fcgr3,0.012689115479588509
Topic2,3,B2m,0.0025846385397017
Topic2,4,Ifngr1,0.0023397894110530615
Topic2,5,Fcrls,-0.0026742364279925823
Topic2,6,Itgam,-0.004371772054582834
Topic2,7,Lag3,-0.00761724729090929
Topic2,8,Cx3cr1,-0.008192194625735283
Topic2,9,Hexb,-0.008374704048037529
Topic2,10,H2-K1,-0.012615588493645191
Topic2,11,Rbm39,-0.01467952597886324
Topic2,12,Il10ra,-0.01623663678765297
Topic2,13,Gmfb,-0.016297172755002975
Topic2,14,Grn,-0.016882043331861496
Topic2,15,Neat1,-0.01843389868736267
Topic3,1,Neat1,0.002517817774787545
Topic3,2,Ifngr1,-0.004520940128713846
Topic3,3,Fcrls,-0.01070671807974577
Topic3,4,Hexb,-0.012781873345375061
Topic3,5,Stat3,-0.013524356298148632
Topic3,6,Pisd,-0.014073816128075123
Topic3,7,Lag3,-0.01985413022339344
Topic3,8,Rbm39,-0.02021915465593338
Topic3,9,Pik3r1,-0.02029445394873619
Topic3,10,Snhg11,-0.020969968289136887
Topic3,11,Grn,-0.023014415055513382
Topic3,12,Nfkb1,-0.024890558794140816
Topic3,13,Cx3cr1,-0.026382088661193848
Topic3,14,Gmfb,-0.026756171137094498
Topic3,15,Fcgr3,-0.028548061847686768
Topic4,1,Neat1,-0.0017731947591528296
Topic4,2,Rbm39,-0.004587960429489613
Topic4,3,Fcgr3,-0.00558929517865181
Topic4,4,Ptprc,-0.00617582444101572
Topic4,5,Cx3cr1,-0.007301270961761475
Topic4,6,Fcrls,-0.007450959645211697
Topic4,7,H2-K1,-0.01092051062732935
Topic4,8,Son,-0.01311881560832262
Topic4,9,Tgfb1,-0.01779237575829029
Topic4,10,Snhg11,-0.02070891484618187
Topic4,11,Enpp2,-0.021440621465444565
Topic4,12,Lag3,-0.02165915258228779
Topic4,13,B2m,-0.022393474355340004
Topic4,14,Grn,-0.022731294855475426
Topic4,15,Pik3r1,-0.02284851297736168
