,volume,center_x,center_y,min_x,min_y,max_x,max_y,transcript_count,num_detected_genes,barcodeCount,mouse_id,slide_id,cohort,age,batch,celltype,region,subregion,bbox_area,n_genes_by_counts,total_counts,stGP_domain,clusterlabel,slingPseudotime_1,slingCurveWeight_1
3615378900220100285-97,956.470734642991,10603.798914788817,381.6651498296383,10597.922195914458,377.1925081146396,10611.16990093159,387.0450854075424,282,84,282.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,130.52403763487695,44,107.0,2,2,18.6531336421768,1.0
3615378900220100290-97,1671.074549439992,10592.077918038342,391.4853475443227,10584.261828688912,384.5108609966873,10600.114029735989,399.70974998910407,601,123,597.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,240.93584399999537,64,161.0,2,2,20.614099786722292,1.0
3615378900220200026-97,350.05279000808844,10459.036360441443,399.5791656575136,10455.31338192275,396.1280677034436,10462.955593610306,402.65385789857805,236,76,235.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,49.871470099797975,38,70.0,2,2,20.53327588008797,1.0
3615378900230100262-97,752.9199740810508,10907.649810230709,298.13098441948523,10902.531318048064,291.9401623476037,10912.662982451757,303.26687121022496,198,73,196.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L1/MEN,114.75841299440732,39,68.0,2,2,20.764129353760573,1.0
3615378900230100309-97,2468.446917452284,10978.791567673215,326.97141242340336,10968.45599618558,319.2162064989827,10987.84280482984,335.89835908908026,575,98,573.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,323.4137000385661,54,259.0,2,2,20.805265443006014,1.0
3615378900230100317-97,2237.8440885748705,11067.981416947578,338.37502964392803,11059.261419795192,329.24022992611674,11076.685306244595,346.02134654809925,705,102,703.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L1/MEN,292.3922705156234,61,339.0,2,2,20.12778283067145,1.0
3615378900230100377-97,1723.495999796156,11018.919589086494,374.9911272845914,11011.93062862678,366.8377895194411,11025.90751415694,383.0100586201743,643,119,639.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,226.03795398387567,71,303.0,2,2,19.015944689025254,1.0
3615378900230100384-97,1556.88272853967,10790.752407192796,379.5934324387133,10782.944846832945,372.0309293252775,10797.63332459233,386.2377131355584,581,121,579.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,208.6760280297153,75,255.0,2,2,18.74099280362003,1.0
3615378900230100398-97,1680.4754854653197,10742.108584536732,384.7006155791565,10732.8425766626,378.9696863033961,10752.33575764373,390.799668784562,501,100,497.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,230.60398950896032,50,157.0,2,2,20.223464939380555,1.0
3615378900230100496-97,461.3844621974815,11013.36561948534,432.4218831286081,11008.115164504845,428.8350214260108,11018.933713691244,435.6952763078157,137,50,135.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,74.21800487003784,25,82.0,2,2,21.0129688049163,1.0
3615378900230200063-97,1342.7914925643945,11150.68932820585,339.74261758187475,11144.321209806509,331.42737631725595,11156.436183287302,346.7539623920683,415,89,413.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L1/MEN,185.68118384744562,54,220.0,2,2,20.81218843334264,1.0
3615378900240100233-97,1213.7134457296947,11255.35312362789,310.4801823132951,11247.69601313403,305.806138732741,11263.025369657522,315.29663158418754,522,104,517.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L1/MEN,145.48314850348228,61,212.0,2,2,20.13798447682719,1.0
3615378900240100245-97,583.88878157036,11219.179937075782,336.93045211649275,11214.863479197138,331.52807339702963,11223.218346659864,341.69595160447466,234,64,234.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L1/MEN,84.95127480033766,38,130.0,2,2,20.970631954369658,1.0
3615378900240100260-97,1744.0074824133856,11156.048612680725,349.841749301745,11146.417516410726,342.09374643278284,11165.84061188404,358.553984480284,611,107,609.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L1/MEN,319.7087751100885,64,235.0,2,2,20.72372155456199,1.0
3615378900240100281-97,1587.815132916778,11197.95284696759,361.5362899912216,11189.91333013512,354.1896156661301,11204.990159323628,369.4098283864836,588,100,584.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L1/MEN,229.47254739753768,63,308.0,2,2,20.76268458946544,1.0
3615378900240100314-97,1289.8651716599702,11388.218013335749,396.9342724632525,11382.31801940728,387.3274364094986,11393.419622420037,404.2869546354285,770,136,762.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L1/MEN,188.2778386319001,77,305.0,2,2,20.953740326439604,1.0
3615378900240100393-97,1528.9890718168854,11374.00175662978,446.1751929669677,11365.962663457009,439.9406886239672,11383.138666291408,453.7936934920789,441,86,440.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,237.93925087963882,42,145.0,2,2,21.824773953376287,1.0
3615378900240100404-97,955.6551498688956,11191.655756123684,450.7856798956887,11182.842845611178,446.0271435297609,11199.35334745556,456.6236647022944,293,83,292.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,174.95388236315543,49,143.0,2,2,20.507667383641895,1.0
3615378900240100407-97,1845.5538111863675,11325.418875871444,458.0336464064622,11317.031349255803,448.80989267157656,11334.722726801598,466.2422533817043,906,119,902.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,308.4024748373396,72,405.0,2,2,21.402285626979957,1.0
3615378900250100947-97,1151.6679512400583,11624.069986518947,422.914837746151,11616.921956062462,417.4583824571954,11631.637402915034,427.9441940544356,377,74,377.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L1/MEN,154.30340326526544,37,92.0,2,2,21.20475811011579,1.0
3615378900500100418-97,553.3234461010364,9240.163046462882,873.209117910754,9235.024429493797,868.4987508567375,9244.256678520018,877.3283373546293,130,47,128.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,81.5169413470985,23,41.0,2,2,22.476555905269965,1.0
3615378900500100450-97,1846.137363151146,9254.57224188334,901.5682638115052,9247.577193398629,891.8561415638092,9261.59422613114,910.2120205868732,557,112,553.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,257.2949571002903,63,243.0,2,2,19.827123440140703,1.0
3615378900510100094-97,1251.1615273349305,9697.41563222196,650.7196582869625,9690.944072977549,643.7344854393809,9704.078598185051,657.2132055379623,437,110,434.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,177.0365888996874,57,180.0,2,2,18.606611337233925,1.0
3615378900510100096-97,1057.737540471996,9707.280637335887,650.8048239647325,9702.446808725395,644.6185998225945,9713.455080586224,656.8950976895918,308,88,300.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,135.1430260187839,46,123.0,2,2,20.739490163958266,1.0
3615378900510100117-97,999.115924632601,9649.59741022561,661.28667881224,9645.20735678686,655.3085730539509,9655.137653698965,668.1866370874865,291,86,290.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,127.8829995061139,44,94.0,2,2,18.509572150936403,1.0
3615378900510100166-97,3182.100376234611,9533.372240098684,712.830950938747,9522.190610983444,702.3894392730623,9543.305811811004,722.7762263825564,850,130,847.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,430.47110404568593,76,298.0,2,2,18.89051909469942,1.0
3615378900510100189-97,677.3327288437363,9599.188425473343,723.1701455103022,9593.745018182251,718.5899428910352,9603.7357538729,728.1541584418214,163,70,163.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,95.55354965628919,33,42.0,2,2,18.69155920154198,1.0
3615378900510100212-97,2817.690392822481,9531.700207155249,738.9178991597838,9522.94732691802,729.3757186605793,9542.28334074695,749.2443152734521,486,99,486.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,384.17945886793905,44,102.0,2,2,22.591474155229793,1.0
3615378900510100422-97,2333.2197297313605,9305.990512564094,862.1978641735907,9295.027506820146,852.5933684995407,9317.5195542994,869.7684190837872,768,144,762.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,386.3020531994668,87,356.0,2,2,19.124423109218682,1.0
3615378900510100467-97,1243.2705561519217,9401.206981028125,883.8417032150753,9394.089968078362,876.9039646786383,9407.700233999403,890.3402354178022,667,131,664.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,182.8712177471225,73,226.0,2,2,18.607530454552126,1.0
3615378900510100544-97,1582.4558198228617,9313.273717565697,916.8721265828992,9305.161316754542,909.9439847516908,9322.303002767152,924.2882833046071,590,113,590.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,245.88546186522956,61,268.0,2,2,18.849105132884777,1.0
3615378900510100547-97,1556.764891804961,9712.20585127987,917.7437349094272,9703.209901221448,911.481803603056,9720.78702202831,923.4098702413628,588,123,581.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,209.66106829381542,67,225.0,2,2,21.57291042915915,1.0
3615378900520100142-97,1469.525627078173,10031.580354034291,565.940495810196,10025.039719933711,558.7317816548568,10038.970085908084,573.7827903005242,259,85,258.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,209.66605871759495,40,72.0,2,2,18.75374456011741,1.0
3615378900520100158-97,1854.420564386514,10057.669340200591,581.1668921789606,10049.232241479402,572.9521890329561,10065.284395585444,589.0718309168946,521,109,518.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,258.7549756551977,59,197.0,2,2,18.60852133517798,1.0
3615378900520100180-97,818.0698186806569,9883.34381886861,597.5435943953865,9877.49238078611,593.1074394253243,9888.937507190623,601.7097141948299,214,70,212.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,98.45412210334304,30,57.0,2,2,22.591474155229793,1.0
3615378900520100234-97,1629.447778157596,9889.601533515268,629.62001115549,9883.02107974659,622.0381026884289,9898.013930762843,637.0238354484267,317,82,314.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,224.67885864003637,46,138.0,2,2,18.77292264595826,1.0
3615378900520100337-97,1064.1743288318962,9906.19691771594,679.53319541297,9900.193719029756,673.6819482304885,9912.667641769294,685.0846338608047,465,105,462.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,142.2362195758101,53,171.0,2,2,18.526037910515445,1.0
3615378900520100525-97,1280.6209001125217,9982.710078854623,792.0478709039925,9977.900132557595,780.3323647451981,9989.113790766658,800.1015495057746,502,116,495.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,221.6848809769121,67,191.0,2,2,18.79735837203944,1.0
3615378900520100599-97,2008.127551505193,10013.151454101975,822.1243853504509,10004.28412553628,813.9732170360675,10021.367755092371,829.9168499132055,769,126,765.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,272.37511785134257,72,289.0,2,2,18.778649401877697,1.0
3615378900520100663-97,2752.8671283107574,10158.48459039208,856.7008568899153,10148.272404070123,846.0278864190614,10166.706571876382,867.4946618529615,1324,159,1321.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,395.72214060779777,98,534.0,2,2,18.35497589208623,1.0
